sentence_length_band,n,CER,WER,chrF++,exact_match,word_accuracy,punctuation_precision,punctuation_recall,punctuation_F1,punctuation_accuracy,capitalisation_accuracy,capitalisation_F1
1–5 words,246,0.0367,0.1406,90.2155,0.622,0.8502,0.5812,0.5128,0.5351,0.8267,0.9937,0.974
6–10 words,348,0.03,0.1274,90.588,0.4454,0.8595,0.5441,0.468,0.4987,0.6987,0.9912,0.9453
11–20 words,427,0.033,0.1266,90.5354,0.3185,0.8489,0.5739,0.4393,0.485,0.676,0.9868,0.8838
21–30 words,165,0.0345,0.1429,89.5327,0.1697,0.812,0.5047,0.389,0.4372,0.6309,0.9831,0.8546
31–50 words,129,0.0334,0.1263,90.4227,0.124,0.807,0.5762,0.351,0.4124,0.5939,0.9842,0.7888
51–100 words,57,0.302,0.3773,68.2553,0.0,0.5701,0.4572,0.2771,0.3423,0.4332,0.9761,0.5141
>100 words,11,0.6614,0.7009,36.332,0.0,0.2381,0.2657,0.0841,0.1278,0.2018,0.9755,0.4259
