model_key,model_id,role,repo_exists,gated,licence,revision,parameter_count,architecture,chat_template_present,tokenizer_is_fast,status,error
qwen3_4b_instruct,Qwen/Qwen3-4B-Instruct-2507,PRIMARY_1_NON_REASONING,True,False,apache-2.0,cdbee75f17c01a7cc42f958dc650907174af0554,4022468096,Qwen3ForCausalLM,,,VERIFIED_HUB_LIVE,tokenizer: Fast download using 'hf_transfer' is enabled (HF_HUB_ENABLE_HF_TRANSFER=1) but 'hf_transfer' package is not available in your environment. Try `pip install hf_t
qwen3_4b_thinking,Qwen/Qwen3-4B-Thinking-2507,PRIMARY_2_REASONING,True,False,apache-2.0,768f209d9ea81521153ed38c47d515654e938aea,4022468096,Qwen3ForCausalLM,,,VERIFIED_HUB_LIVE,tokenizer: Fast download using 'hf_transfer' is enabled (HF_HUB_ENABLE_HF_TRANSFER=1) but 'hf_transfer' package is not available in your environment. Try `pip install hf_t
phi4_mini_instruct,microsoft/Phi-4-mini-instruct,PRIMARY_3_INDEPENDENT_FAMILY,True,False,mit,cfbefacb99257ffa30c83adab238a50856ac3083,3836021760,Phi3ForCausalLM,,,VERIFIED_HUB_LIVE,tokenizer: Fast download using 'hf_transfer' is enabled (HF_HUB_ENABLE_HF_TRANSFER=1) but 'hf_transfer' package is not available in your environment. Try `pip install hf_t
gemma3_4b_it,google/gemma-3-4b-it,PRIMARY_4_INDEPENDENT_FAMILY,True,manual,gemma,093f9f388b31de276ce2de164bdc2081324b9767,4300079472,Gemma3ForConditionalGeneration,,,VERIFIED_HUB_LIVE,tokenizer: Fast download using 'hf_transfer' is enabled (HF_HUB_ENABLE_HF_TRANSFER=1) but 'hf_transfer' package is not available in your environment. Try `pip install hf_t
