sentence_length_band,n,CER,WER,chrF++,exact_match,word_accuracy,punctuation_precision,punctuation_recall,punctuation_F1,punctuation_accuracy,capitalisation_accuracy,capitalisation_F1
1–5 words,246,0.0798,0.213,84.0841,0.4106,0.7777,0.6115,0.4847,0.5311,0.7949,0.9935,0.973
6–10 words,348,0.0618,0.1853,85.3671,0.2615,0.7803,0.5594,0.4194,0.4748,0.6488,0.9867,0.9147
11–20 words,427,0.0541,0.1685,86.335,0.1639,0.7706,0.7041,0.3931,0.4812,0.6473,0.9831,0.8444
21–30 words,165,0.0583,0.1971,84.3885,0.0364,0.677,0.5368,0.2953,0.3732,0.5304,0.9773,0.7952
31–50 words,129,0.0464,0.1608,86.9537,0.0698,0.7574,0.6818,0.3002,0.3816,0.5131,0.98,0.7186
51–100 words,57,0.0525,0.1776,85.5671,0.0,0.6649,0.7261,0.3535,0.4477,0.5604,0.9722,0.4218
>100 words,11,0.2256,0.3389,72.1633,0.0,0.5183,0.3139,0.114,0.1578,0.3377,0.9727,0.3913
