loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_cer,eval_wer,eval_chrf,eval_exact_match,eval_word_accuracy,eval_punct_precision,eval_punct_recall,eval_punct_f1,eval_punct_accuracy,eval_capitalization_accuracy,eval_capitalization_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
6.189099731445313,10.782127380371094,2.832369942196532e-05,0.07230657989877079,50,,,,,,,,,,,,,,,,,,,,
4.776818542480469,43.160369873046875,5.722543352601156e-05,0.14461315979754158,100,,,,,,,,,,,,,,,,,,,,
3.8522689819335936,3.685023307800293,8.612716763005781e-05,0.21691973969631237,150,,,,,,,,,,,,,,,,,,,,
3.213721923828125,3.8309364318847656,9.920900517188928e-05,0.28922631959508316,200,,,,,,,,,,,,,,,,,,,,
2.844665832519531,3.548455238342285,9.768786127167631e-05,0.3615328994938539,250,,,,,,,,,,,,,,,,,,,,
2.6377947998046873,3.4108357429504395,9.616671737146334e-05,0.43383947939262474,300,,,,,,,,,,,,,,,,,,,,
2.5624029541015627,2.601186513900757,9.464557347125039e-05,0.5061460592913956,350,,,,,,,,,,,,,,,,,,,,
2.405062713623047,2.4709084033966064,9.312442957103742e-05,0.5784526391901663,400,,,,,,,,,,,,,,,,,,,,
2.311943359375,2.820439577102661,9.160328567082446e-05,0.6507592190889371,450,,,,,,,,,,,,,,,,,,,,
2.230548858642578,3.465543270111084,9.008214177061151e-05,0.7230657989877078,500,,,,,,,,,,,,,,,,,,,,
2.177857666015625,3.922288179397583,8.856099787039854e-05,0.7953723788864787,550,,,,,,,,,,,,,,,,,,,,
2.122661285400391,2.4011034965515137,8.703985397018559e-05,0.8676789587852495,600,,,,,,,,,,,,,,,,,,,,
2.0248394775390626,3.487764596939087,8.551871006997262e-05,0.9399855386840202,650,,,,,,,,,,,,,,,,,,,,
,,,1.0,692,0.8101258873939514,0.10326035069853293,0.3146147106679461,74.7040884610933,0.0737527114967462,0.5407143442287212,0.7559988485227341,0.3604565016033388,0.45504061607710833,0.5687937248251007,0.9725434837408621,0.6922120492822426,82.0683,16.852,2.108,,,,,
2.0037310791015623,3.05216383934021,8.399756616975966e-05,1.0115690527838033,700,,,,,,,,,,,,,,,,,,,,
1.897830047607422,3.365844964981079,8.247642226954671e-05,1.083875632682574,750,,,,,,,,,,,,,,,,,,,,
1.851275634765625,2.9439127445220947,8.095527836933374e-05,1.1561822125813448,800,,,,,,,,,,,,,,,,,,,,
1.818245849609375,3.6049909591674805,7.943413446912077e-05,1.2284887924801158,850,,,,,,,,,,,,,,,,,,,,
