epoch,train_loss,eval_loss,gradient_norm,teacher_forcing_ratio,eval_cer,eval_wer,eval_chrf,eval_exact_match,eval_word_accuracy,eval_punct_precision,eval_punct_recall,eval_punct_f1,eval_punct_accuracy,eval_capitalization_accuracy,eval_capitalization_f1,eval_num_examples
1,2.9680502869490253,2.4045758464119653,0.4681421649390329,0.5,1.500043118654698,2.9078066609174162,3.6214862375870105,0.0,0.0048315963931571115,0.14787227795448984,0.04644543662469106,0.06711217700016912,0.04172510518934081,0.9804863764026249,0.6076017130620985,1383
2,2.525013676957588,1.9531689394604077,0.8001973561816603,0.5,1.1684763435380816,1.7757792287791057,15.513624364028262,0.0007230657989877079,0.04127890504108275,0.1879593914381914,0.09727723324154097,0.10319485525060185,0.0907324655138916,0.9818918072980516,0.6306689719377577,1383
3,2.148371228592933,1.5518399585377087,2.65108331699696,0.5,0.9150092117125945,1.3965340232433987,24.468885926001224,0.007953723788864787,0.1006958762886598,0.2744849325650332,0.1522773254659285,0.17420477824103744,0.17232303643163874,0.9788134682739208,0.646594982078853,1383
4,1.934492719655781,1.367487901991064,3.710234346662119,0.5,0.6755987613186468,1.1303847891257033,35.2075591965272,0.01373825018076645,0.14828318787322003,0.3783510273449365,0.19147361668609575,0.235110840266434,0.23358198040076056,0.979287994737771,0.6802080753034432,1383
5,1.642504933941571,1.0462646809491245,3.9209053339799844,0.5,0.3976715926463094,0.7218594718902714,42.434284756908156,0.023138105567606652,0.22700556615157058,0.5043297909226697,0.2509215164107908,0.324867745233141,0.3907335907335907,0.9727183765457116,0.6745283018867925,1383
6,1.3487033368535124,0.7062975899739699,3.4946088331081553,0.5,0.28747599074908864,0.5727896184961603,53.8050075879074,0.03036876355748373,0.34510209767941724,0.5210936181444135,0.2606347648801731,0.3389228871288629,0.4344674854036642,0.9721904188008437,0.6809540269616315,1383
7,1.1424661161582594,0.5728821564804424,2.871612193352326,0.5,0.2566343930069382,0.5100817214898772,62.13563376106336,0.049168474331164135,0.39386288599728103,0.5418236683031333,0.2976296767810301,0.3747955101118268,0.46947791164658637,0.9711700584244991,0.6729678638941399,1383
8,0.8296430786221014,0.4280960275368257,1.302535608381054,0.5,0.18867155344753245,0.4072522689006612,67.5681573297745,0.060014461315979754,0.46904465754523933,0.5390666498265072,0.3021090255386023,0.3794864470974895,0.4906093489148581,0.9705977057758101,0.6750444839857651,1383
9,0.685644241771257,0.35629024830731476,0.815978098073119,0.5,0.17708439496687703,0.37099092439735537,70.76576266301565,0.07953723788864786,0.4871084337349398,0.5672095564027829,0.305814720519303,0.39050262874570957,0.4933958244567533,0.9737322840968402,0.7050602952778091,1383
10,0.5988363770046675,0.33434263142672455,0.5851205379563026,0.5,0.16712790560934498,0.3518541333004805,71.32301544776709,0.09327548806941431,0.5140750941714933,0.7266469667246351,0.30415545614097333,0.39547901014663145,0.4926673751328374,0.974233277964591,0.7133844073907165,1383
11,0.5351760015322294,0.30346540293910285,0.5517835831765617,0.5,0.1566696719062365,0.3296784526302821,73.4063755814176,0.09616775126536514,0.5488770661576575,0.736733186029138,0.32007624531830886,0.4159249584038111,0.5097914005959983,0.9756255567252409,0.727971079981925,1383
12,0.496805285615039,0.2726055160164833,0.4712074675797338,0.5,0.1519658186664576,0.311609379491602,74.96148377756249,0.12436731742588576,0.5665774099318404,0.709758791284453,0.3372326101736218,0.42433216323367445,0.5143037442153976,0.9762123522106559,0.7342057761732852,1383
13,0.44294705401266243,0.2527594193816185,0.39972534693819245,0.5,0.14498843636078554,0.3005215391565028,75.60724612612097,0.128705712219812,0.5837978597876063,0.7417058235315982,0.32706761012713864,0.42267612132661214,0.5162116040955631,0.9755768684861511,0.7298418750700908,1383
14,0.42442083875567926,0.2498759844086387,0.4139080587926554,0.5,0.14904158990239505,0.29928955689704734,75.85504529561415,0.13593637020968907,0.5886348844777091,0.7327069805861012,0.32584466274950624,0.4201948311134094,0.5144742443593018,0.9764446601156537,0.7393736017897091,1383
15,0.40759749460771594,0.241482521999966,0.4450911110380151,0.5,0.14965309082356631,0.29407416533201924,76.33672692987828,0.14389009399855388,0.5948811700182816,0.743195032193567,0.33379069590565197,0.4287673851344895,0.529637526652452,0.9755637009885594,0.7311111111111112,1383
16,0.3938040001199425,0.22984407300298865,0.4147023849157719,0.5,0.14307553604327544,0.28774998973348115,76.81641565773569,0.1475054229934924,0.6086088939566705,0.7233253766294024,0.33409011032470765,0.425177298815977,0.5264387343385007,0.9761584310709479,0.7402998236331569,1383
17,0.3577907536760231,0.2207386547868902,0.32744436490616796,0.5,0.14118615499196424,0.2826167303190834,77.2991673777105,0.16341287057122197,0.6163429827775742,0.7290245232725776,0.3326736876649178,0.4239171032864974,0.5271416454622562,0.977218188997904,0.7514910536779325,1383
18,0.3382701270842139,0.2094418243928389,0.3131669949956485,0.5,0.14190741248873034,0.27752453698000085,77.78965621972664,0.1648590021691974,0.6267969863571574,0.7127486835931655,0.3409807313923112,0.4278487707542313,0.5313816343723673,0.9765847047042997,0.7456323480936161,1383
19,0.3267066471838538,0.20703431963920593,0.31479378584857254,0.5,0.1405511348045941,0.28015276580017245,77.77332800176833,0.1742588575560376,0.6210170320267296,0.7043401391552798,0.3325701942106381,0.41876428352907547,0.5225548060708263,0.9770777696851987,0.748780487804878,1383
20,0.32664402483860194,0.21174339679154483,0.37545207666983654,0.5,0.13840304182509505,0.2805223604780091,77.63332308567476,0.16919739696312364,0.6132152477348788,0.7267483158820823,0.3464821111271481,0.43345048756095617,0.5587799195085786,0.9762757612964109,0.746969696969697,1383
21,0.30775470807717714,0.19682762365449558,0.30885429776186885,0.5,0.13755634824193486,0.2705022381011047,78.62104284568025,0.1749819233550253,0.6353627207111691,0.705647001161026,0.3517198687506263,0.43410290618596364,0.5566057550934678,0.9768483791838142,0.755093287583101,1383
22,0.3044240188736447,0.1962361613457853,0.3438154063882175,0.5,0.13875583081807846,0.273500061599113,78.50315513683186,0.1829356471438901,0.6422462941847207,0.7171156065048364,0.34530215419707994,0.42948702176605447,0.554710604140262,0.9768164653714934,0.7545551982851019,1383
23,0.2660570931916981,0.18933042071082376,0.2403083689407224,0.5,0.13162949315981343,0.2648761857829247,78.8322990487958,0.19305856832971802,0.64037558685446,0.7261387365201335,0.34691748500071756,0.4345671180047696,0.5584166844009364,0.9772269983537589,0.7553760506494924,1383
24,0.2970670229093188,0.1900722560557452,0.3885488589001628,0.5,0.13605895496060522,0.2688595950884974,78.70108683905757,0.18799710773680406,0.632139360313316,0.6921033659115013,0.35344200916343627,0.43263335134461633,0.5543432647922787,0.9774447533432091,0.7593895443229787,1383
25,0.2516970794669465,0.18363865464925766,0.24216232835398485,0.5,0.1304064913174709,0.2606053139501458,79.13390963354789,0.19378163412870572,0.650927211829099,0.7322241252387065,0.3414889229434892,0.4316687731362053,0.5447189097103918,0.9783816167585626,0.7688131176023455,1383
26,0.24850309782290045,0.18451454693620856,0.2755146108219654,0.5,0.1347340362980675,0.2607695782514065,79.29110995998553,0.19667389732465654,0.6511599461817589,0.7024118006796093,0.35591665305640685,0.4371948898679199,0.5585263157894736,0.9775605601241115,0.7614530559448097,1383
27,0.22741428198497418,0.18815942040898584,0.27169611825843243,0.5,0.13828544549410057,0.27128249353209316,78.78453007264079,0.19088937093275488,0.6270116113261357,0.6579496559571365,0.35935591840161657,0.43883151642837753,0.5816691191927685,0.9761805900165075,0.7518987341772152,1383
28,0.2316193951864463,0.18397031318057666,0.2577172342049756,0.5,0.13315040570734193,0.2615087676070798,79.32519479983722,0.18655097613882862,0.6526423178943073,0.7172931870033962,0.3519084850125945,0.43756194639020163,0.5626457494170023,0.9777536239245045,0.7647185217017619,1383
29,0.22139240327598042,0.17996734042059293,0.27380054799078907,0.5,0.13244482772137509,0.265615375138598,79.30694946955369,0.19233550253073028,0.6353171687484692,0.7102814628182275,0.3618053394244248,0.4410265939075362,0.5849570500733291,0.9766430020283976,0.757297923911898,1383
30,0.231931114300138,0.18633369288661264,0.30415077997986834,0.5,0.13529065893144135,0.2685310664859759,78.97574294964784,0.1836587129428778,0.6402431561339806,0.6153203051456789,0.364310459225099,0.42761550839218865,0.5558739255014327,0.9765294850877104,0.754035683942226,1383
