model,model_name,split,num_examples,cer,wer,chrf,exact_match,word_accuracy,punct_f1,capitalization_f1,training_minutes,peak_gpu_memory_gb,total_parameters,trainable_parameters
BiLSTM,char_bilstm_seq2seq_attention,train,11064,0.11204915985344456,0.20448999007279947,83.89490528847602,0.3349602313810557,0.7333920450741365,0.5839988892674998,0.8381104564066714,32.8094375371933,16.600263118743896,2627597,2627597
BiLSTM,char_bilstm_seq2seq_attention,validation,1383,0.13244482772137509,0.265615375138598,79.30694946955369,0.19233550253073028,0.6353171687484692,0.4410265939075362,0.757297923911898,32.8094375371933,16.600263118743896,2627597,2627597
BiLSTM,char_bilstm_seq2seq_attention,test,1383,0.13335736733622264,0.26072943864229764,79.44359231827613,0.2039045553145336,0.654901006166829,0.4276033943512749,0.7882855399633923,32.8094375371933,16.600263118743896,2627597,2627597
