model,model_name,split,num_examples,cer,wer,chrf,exact_match,word_accuracy,punct_f1,capitalization_f1,training_minutes,peak_gpu_memory_gb
ByT5,google/byt5-small,train,11064,0.09246203074662909,0.13935824784910655,88.9405319861812,0.5922812725958062,0.8423037774551392,0.7074650761841679,0.9094246642848343,43.12376835346222,10.225157737731934
ByT5,google/byt5-small,validation,1383,0.111936027595939,0.20438585684366145,84.19950520667548,0.351409978308026,0.742133726647001,0.4841768591913449,0.8281701776125568,43.12376835346222,10.225157737731934
ByT5,google/byt5-small,test,1383,0.11423466068951464,0.20618472584856398,83.93685975416983,0.35285610990600147,0.7527481475449882,0.4540634629504649,0.8443735035913806,43.12376835346222,10.225157737731934
