sentence_length_band,n,CER,WER,chrF++,exact_match,word_accuracy,punctuation_precision,punctuation_recall,punctuation_F1,punctuation_accuracy,capitalisation_accuracy,capitalisation_F1
1–5 words,246,0.1392,0.191,84.6449,0.5081,0.8021,0.5648,0.4838,0.5165,0.7886,0.9942,0.9761
6–10 words,348,0.09,0.1752,85.8131,0.3161,0.8034,0.6047,0.4596,0.5133,0.6738,0.9844,0.902
11–20 words,427,0.0753,0.1666,86.8914,0.1944,0.7927,0.6742,0.4122,0.4847,0.6564,0.983,0.8471
21–30 words,165,0.0495,0.1849,86.4465,0.0667,0.6963,0.4764,0.3174,0.3743,0.5674,0.9794,0.8194
31–50 words,129,0.0549,0.1736,86.9568,0.0543,0.6792,0.5149,0.3194,0.3877,0.5656,0.9796,0.7197
51–100 words,57,0.3327,0.4328,64.0636,0.0,0.4168,0.6941,0.2656,0.3662,0.4054,0.9732,0.4276
>100 words,11,0.6652,0.7214,34.585,0.0,0.2067,0.3711,0.106,0.1627,0.1974,0.9742,0.3813
