sentence_length_band,n,CER,WER,chrF++,exact_match,word_accuracy,punctuation_precision,punctuation_recall,punctuation_F1,punctuation_accuracy,capitalisation_accuracy,capitalisation_F1
1–5 words,246,0.0473,0.148,88.4098,0.6098,0.843,0.5846,0.5006,0.5278,0.7989,0.9882,0.9507
6–10 words,348,0.0397,0.1443,88.8373,0.431,0.8244,0.5466,0.4497,0.4903,0.6897,0.9901,0.9372
11–20 words,427,0.041,0.1432,88.897,0.2623,0.8226,0.5959,0.4179,0.4744,0.6527,0.9849,0.8642
21–30 words,165,0.041,0.1619,88.1632,0.103,0.7575,0.4845,0.3321,0.3904,0.5959,0.9807,0.83
31–50 words,129,0.0332,0.1278,90.1375,0.1318,0.806,0.6619,0.3509,0.4182,0.5884,0.9849,0.7941
51–100 words,57,0.067,0.1814,86.0395,0.0351,0.6564,0.5241,0.3728,0.4298,0.6093,0.9736,0.4847
>100 words,11,0.452,0.5295,55.0425,0.0,0.3074,0.2653,0.122,0.1667,0.2851,0.9738,0.4429
