epoch,train_loss,eval_loss,gradient_norm,teacher_forcing_ratio,eval_cer,eval_wer,eval_chrf,eval_exact_match,eval_word_accuracy,eval_punct_precision,eval_punct_recall,eval_punct_f1,eval_punct_accuracy,eval_capitalization_accuracy,eval_capitalization_f1,eval_num_examples
1,2.2006290683001604,0.7706334682213778,1.146800442870678,0.5,0.40356708870683233,0.6853106648597593,50.421946526051855,0.03470715835140998,0.2685731241422796,0.39815043193491517,0.2439614776767979,0.29308466196801336,0.36689237348538845,0.9726010806782187,0.6679462571976967,1383
2,0.8835960366936241,0.3436844665880148,0.960660845748016,0.5,0.19339892595351024,0.37209970843086526,70.57123222194026,0.08459869848156182,0.4839979118981649,0.5635416731984201,0.29080546900645493,0.3760079714287912,0.48507462686567165,0.9715331679603105,0.6892334570867001,1383
3,0.5598387684045455,0.2659436363102384,0.651442086130914,0.5,0.19638587276076985,0.35357890846371814,73.62786696356892,0.14172089660159073,0.5341807348560079,0.6792907513882745,0.32138889462489467,0.40110094317790684,0.493517184605886,0.9743390051065676,0.7170959678295837,1383
4,0.467338884697819,0.2218070692151268,0.5986774058459075,0.5,0.15963309944729726,0.29637386554966944,76.54226736056874,0.16558206796818511,0.5887630414484635,0.7145377031800209,0.3359918484386671,0.4252006969642968,0.5202020202020202,0.9763121742292618,0.7392996108949417,1383
5,0.40029726061089177,0.21011254523014058,0.5228710850014111,0.5,0.1566853514170358,0.2952240154408443,77.10453481759808,0.17064352856109907,0.5874600800420423,0.6896390268705924,0.3305361392802924,0.4130758020061431,0.5189053687069145,0.9757888790250988,0.7408207343412527,1383
6,0.3725987126376003,0.19266607039581143,0.5133546854346006,0.5,0.15034298929873388,0.275306968912981,78.40059022981701,0.19450469992769343,0.6362416653114328,0.7253072329263665,0.34031373877581034,0.4286851928797915,0.5095189355168884,0.9764406625685128,0.7481113749190589,1383
7,0.3436155424777227,0.18394934388168285,0.4900140252866563,0.5,0.14262083023009683,0.2679561414315634,78.75661831616031,0.20896601590744757,0.6319130753265779,0.7183871983109374,0.33442218357124626,0.42296819676533653,0.5293121693121693,0.9780191939357702,0.7651326475365458,1383
8,0.32286715441782754,0.1902748971660702,0.4679113676503434,0.5,0.149425737916977,0.27395178842758,78.36969295955704,0.20751988430947216,0.6318594150429159,0.666942129874513,0.34771582291071507,0.42999428765847886,0.5491889614493364,0.9761454339447035,0.7493089517329364,1383
9,0.30814012836338983,0.18049581652517951,0.45268920131097834,0.5,0.14710517031868606,0.272596607942179,78.6178906867108,0.2017353579175705,0.6241007925218451,0.630632383063688,0.34419797288949555,0.4069380830481863,0.5254718895879845,0.9763608432882582,0.751037786056413,1383
10,0.2859467598848686,0.1906445500564713,0.4500719402650197,0.5,0.15282035200501745,0.2803170301014332,77.72188463278916,0.2118582791033984,0.5957046430762937,0.6206644546427827,0.3546644668162165,0.42832050439350394,0.5531825795644891,0.9770999349487721,0.7556664136210823,1383
11,0.27311632516090195,0.16911090624039574,0.4309665334550153,0.5,0.1422915605033123,0.2610159747032976,79.33436375201043,0.22270426608821403,0.6368731080749407,0.7033135576322845,0.3632504057331776,0.4452809074675541,0.5630762782900252,0.9775531168316026,0.7632228301684368,1383
