loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_cer,eval_wer,eval_chrf,eval_exact_match,eval_word_accuracy,eval_punct_precision,eval_punct_recall,eval_punct_f1,eval_punct_accuracy,eval_capitalization_accuracy,eval_capitalization_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.611161499023438,7.1798858642578125,8.497109826589596e-05,0.07230657989877079,50,,,,,,,,,,,,,,,,,,,,
3.8564443969726563,3.723034143447876,0.00017167630057803466,0.14461315979754158,100,,,,,,,,,,,,,,,,,,,,
3.070565490722656,2.8335485458374023,0.00025838150289017337,0.21691973969631237,150,,,,,,,,,,,,,,,,,,,,
2.515991668701172,3.9343106746673584,0.00029762701551566776,0.28922631959508316,200,,,,,,,,,,,,,,,,,,,,
2.209794464111328,3.165154218673706,0.00029306358381502886,0.3615328994938539,250,,,,,,,,,,,,,,,,,,,,
2.026872100830078,3.073044776916504,0.00028850015211439,0.43383947939262474,300,,,,,,,,,,,,,,,,,,,,
1.9445933532714843,2.4285213947296143,0.0002839367204137511,0.5061460592913956,350,,,,,,,,,,,,,,,,,,,,
1.80316650390625,2.888035535812378,0.0002793732887131122,0.5784526391901663,400,,,,,,,,,,,,,,,,,,,,
1.70102294921875,2.6389834880828857,0.00027480985701247335,0.6507592190889371,450,,,,,,,,,,,,,,,,,,,,
1.642419891357422,4.243426322937012,0.0002702464253118345,0.7230657989877078,500,,,,,,,,,,,,,,,,,,,,
1.5837467956542968,3.2081472873687744,0.0002656829936111956,0.7953723788864787,550,,,,,,,,,,,,,,,,,,,,
1.5407501220703126,2.2352514266967773,0.0002611195619105567,0.8676789587852495,600,,,,,,,,,,,,,,,,,,,,
1.4675430297851562,3.954012870788574,0.00025655613020991784,0.9399855386840202,650,,,,,,,,,,,,,,,,,,,,
,,,1.0,692,0.5614292025566101,0.0830760907615441,0.25407818432141516,79.7360059542288,0.12581344902386118,0.6086152328496856,0.7560906051095939,0.36285699980548697,0.4576429409210556,0.5769230769230769,0.9740018852434092,0.7130551515829511,79.0973,17.485,2.187,,,,,
1.455868682861328,1.966478705406189,0.000251992698509279,1.0115690527838033,700,,,,,,,,,,,,,,,,,,,,
1.2990007019042968,2.407115936279297,0.0002474292668086401,1.083875632682574,750,,,,,,,,,,,,,,,,,,,,
1.2668509674072266,2.707329034805298,0.00024286583510800118,1.1561822125813448,800,,,,,,,,,,,,,,,,,,,,
1.2590750122070313,3.131425619125366,0.0002383024034073623,1.2284887924801158,850,,,,,,,,,,,,,,,,,,,,
1.1793045043945312,2.7133729457855225,0.00023373897170672343,1.3007953723788865,900,,,,,,,,,,,,,,,,,,,,
1.20850830078125,2.6427276134490967,0.00022917554000608458,1.3731019522776573,950,,,,,,,,,,,,,,,,,,,,
1.217697296142578,2.7806077003479004,0.00022461210830544568,1.445408532176428,1000,,,,,,,,,,,,,,,,,,,,
1.1884287261962891,3.5953972339630127,0.0002200486766048068,1.5177151120751988,1050,,,,,,,,,,,,,,,,,,,,
1.1106419372558594,2.0047128200531006,0.0002154852449041679,1.5900216919739696,1100,,,,,,,,,,,,,,,,,,,,
