,input_word_len,input_word_len,input_word_len,input_word_len,target_word_len,target_word_len,target_word_len,target_word_len,input_char_len,input_char_len,input_char_len,input_char_len,target_char_len,target_char_len,target_char_len,target_char_len,prefixed_input_token_len,prefixed_input_token_len,prefixed_input_token_len,prefixed_input_token_len,target_token_len,target_token_len,target_token_len,target_token_len,input_token_word_ratio,input_token_word_ratio,input_token_word_ratio,input_token_word_ratio,target_token_word_ratio,target_token_word_ratio,target_token_word_ratio,target_token_word_ratio,input_has_unk,input_has_unk,input_has_unk,input_has_unk,target_has_unk,target_has_unk,target_has_unk,target_has_unk,input_truncated,input_truncated,input_truncated,input_truncated,target_truncated,target_truncated,target_truncated,target_truncated
,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max
split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,17.92,12.0,1,227,17.724,12.0,1,227,91.207,62.0,3,1123,92.262,62.0,4,1183,46.846,35.0,12,448,39.091,27.0,4,462,3.226,2.889,1.727,14.0,2.332,2.25,1.273,7.0,0.21,0.0,False,True,0.206,0.0,False,True,0.007,0.0,False,True,0.006,0.0,False,True
train,17.65,12.0,1,231,17.481,12.0,1,230,90.456,62.0,3,1261,91.546,63.0,3,1246,46.446,35.0,12,471,38.753,28.0,3,555,3.242,2.889,1.38,26.0,2.353,2.261,1.222,12.0,0.19,0.0,False,True,0.186,0.0,False,True,0.005,0.0,False,True,0.004,0.0,False,True
validation,17.795,12.0,1,207,17.607,12.0,1,208,91.132,62.0,2,1073,92.231,63.0,3,1053,46.871,35.0,11,462,39.077,28.0,3,465,3.233,2.889,1.667,13.0,2.338,2.25,1.364,6.0,0.188,0.0,False,True,0.186,0.0,False,True,0.004,0.0,False,True,0.003,0.0,False,True
