sentence_length_band,n,CER,WER,chrF++,exact_match,word_accuracy,punctuation_precision,punctuation_recall,punctuation_F1,punctuation_accuracy,capitalisation_accuracy,capitalisation_F1
1–5 words,246,0.0572,0.2088,84.489,0.4512,0.7852,0.5618,0.4533,0.4924,0.7585,0.9937,0.9739
6–10 words,348,0.0505,0.1846,85.4479,0.296,0.7921,0.7387,0.4183,0.496,0.6698,0.9859,0.9108
11–20 words,427,0.0567,0.1889,85.4194,0.1335,0.765,0.692,0.3962,0.4718,0.635,0.9799,0.8192
21–30 words,165,0.0538,0.2012,84.7273,0.0485,0.6929,0.5442,0.3044,0.3788,0.5797,0.9758,0.7866
31–50 words,129,0.0508,0.1785,86.3297,0.0233,0.696,0.5778,0.2994,0.3728,0.5538,0.978,0.6993
51–100 words,57,0.3192,0.421,64.8916,0.0,0.4322,0.7093,0.2615,0.3619,0.4129,0.9744,0.4467
>100 words,11,0.6682,0.7349,33.3381,0.0,0.2022,0.234,0.0675,0.1046,0.193,0.9733,0.3387
