loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_model_preparation_time,eval_cer,eval_wer,eval_chrf,eval_exact_match,eval_word_accuracy,eval_punct_precision,eval_punct_recall,eval_punct_f1,eval_punct_accuracy,eval_capitalization_accuracy,eval_capitalization_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
9.851318969726563,258.9327697753906,8.497109826589596e-05,0.07230657989877079,50,,,,,,,,,,,,,,,,,,,,,
3.4994961547851564,21.45555877685547,0.00017167630057803466,0.14461315979754158,100,,,,,,,,,,,,,,,,,,,,,
1.8162213134765626,5.929264068603516,0.00025838150289017337,0.21691973969631237,150,,,,,,,,,,,,,,,,,,,,,
1.3549311828613282,4.934497833251953,0.00029762701551566776,0.28922631959508316,200,,,,,,,,,,,,,,,,,,,,,
1.106741943359375,3.4564905166625977,0.00029306358381502886,0.3615328994938539,250,,,,,,,,,,,,,,,,,,,,,
0.937055435180664,2.852909564971924,0.00028850015211439,0.43383947939262474,300,,,,,,,,,,,,,,,,,,,,,
0.8691249847412109,1.556252360343933,0.0002839367204137511,0.5061460592913956,350,,,,,,,,,,,,,,,,,,,,,
0.8268497467041016,2.4972681999206543,0.0002793732887131122,0.5784526391901663,400,,,,,,,,,,,,,,,,,,,,,
0.7515521240234375,1.6518540382385254,0.00027480985701247335,0.6507592190889371,450,,,,,,,,,,,,,,,,,,,,,
0.7017879486083984,4.1995391845703125,0.0002702464253118345,0.7230657989877078,500,,,,,,,,,,,,,,,,,,,,,
0.7283878326416016,3.124830961227417,0.0002656829936111956,0.7953723788864787,550,,,,,,,,,,,,,,,,,,,,,
0.6675926971435547,1.414373755455017,0.0002611195619105567,0.8676789587852495,600,,,,,,,,,,,,,,,,,,,,,
0.6528768920898438,2.4815022945404053,0.00025655613020991784,0.9399855386840202,650,,,,,,,,,,,,,,,,,,,,,
,,,1.0,692,0.11744559556245804,0.0014,0.11180664093649326,0.23505843071786311,81.49961804324532,0.23210412147505424,0.6819446174284884,0.7172835276630493,0.3883884882656646,0.4619096110906041,0.5963105963105964,0.9779029507518991,0.7754201680672269,223.667,6.183,1.547,,,,,
0.6408197784423828,1.6967418193817139,0.000251992698509279,1.0115690527838033,700,,,,,,,,,,,,,,,,,,,,,
0.5661795043945312,1.5086332559585571,0.0002474292668086401,1.083875632682574,750,,,,,,,,,,,,,,,,,,,,,
0.5458206176757813,1.6042332649230957,0.00024286583510800118,1.1561822125813448,800,,,,,,,,,,,,,,,,,,,,,
0.5503034591674805,3.6464040279388428,0.0002383024034073623,1.2284887924801158,850,,,,,,,,,,,,,,,,,,,,,
0.5161137390136719,1.7379684448242188,0.00023373897170672343,1.3007953723788865,900,,,,,,,,,,,,,,,,,,,,,
0.5391352081298828,2.111335515975952,0.00022917554000608458,1.3731019522776573,950,,,,,,,,,,,,,,,,,,,,,
0.5238447952270507,1.3719422817230225,0.00022461210830544568,1.445408532176428,1000,,,,,,,,,,,,,,,,,,,,,
0.5087636947631836,1.9028980731964111,0.0002200486766048068,1.5177151120751988,1050,,,,,,,,,,,,,,,,,,,,,
0.4905182647705078,1.5082706212997437,0.0002154852449041679,1.5900216919739696,1100,,,,,,,,,,,,,,,,,,,,,
0.5016389465332032,1.2084378004074097,0.00021092181320352902,1.6623282718727403,1150,,,,,,,,,,,,,,,,,,,,,
0.49715667724609375,1.5774224996566772,0.00020635838150289017,1.7346348517715113,1200,,,,,,,,,,,,,,,,,,,,,
0.4788579559326172,2.214120388031006,0.0002017949498022513,1.8069414316702819,1250,,,,,,,,,,,,,,,,,,,,,
0.4841425704956055,2.3152384757995605,0.0001972315181016124,1.8792480115690529,1300,,,,,,,,,,,,,,,,,,,,,
0.4838743209838867,2.837202310562134,0.0001926680864009735,1.9515545914678236,1350,,,,,,,,,,,,,,,,,,,,,
,,,2.0,1384,0.1000838652253151,0.0014,0.10332206309208637,0.21160267111853087,83.34287828684003,0.2913955169920463,0.7169308866974576,0.7200143496265174,0.3942913015719937,0.4714340532604034,0.6009969657563936,0.9810830668612172,0.8036941580756014,242.7458,5.697,1.425,,,,,
0.4556973648071289,3.155372381210327,0.00018810465470033464,2.0231381055676065,1400,,,,,,,,,,,,,,,,,,,,,
0.41132976531982424,1.7992933988571167,0.00018354122299969576,2.0954446854663775,1450,,,,,,,,,,,,,,,,,,,,,
0.4127404403686523,2.7427921295166016,0.00017897779129905688,2.167751265365148,1500,,,,,,,,,,,,,,,,,,,,,
0.43588569641113284,2.350806713104248,0.000174414359598418,2.240057845263919,1550,,,,,,,,,,,,,,,,,,,,,
0.38136531829833986,1.154537558555603,0.0001698509278977791,2.3123644251626896,1600,,,,,,,,,,,,,,,,,,,,,
0.3892786407470703,1.9102767705917358,0.00016528749619714023,2.3846710050614606,1650,,,,,,,,,,,,,,,,,,,,,
0.4431576156616211,1.1232149600982666,0.00016072406449650138,2.4569775849602316,1700,,,,,,,,,,,,,,,,,,,,,
0.378118896484375,0.9150083065032959,0.00015616063279586247,2.529284164859002,1750,,,,,,,,,,,,,,,,,,,,,
0.3963226318359375,1.3391289710998535,0.0001515972010952236,2.601590744757773,1800,,,,,,,,,,,,,,,,,,,,,
0.40024356842041015,1.1770459413528442,0.00014703376939458472,2.6738973246565436,1850,,,,,,,,,,,,,,,,,,,,,
0.37524177551269533,1.899052619934082,0.00014247033769394584,2.7462039045553146,1900,,,,,,,,,,,,,,,,,,,,,
0.36706947326660155,1.3997026681900024,0.00013790690599330696,2.8185104844540856,1950,,,,,,,,,,,,,,,,,,,,,
0.39306106567382815,2.429443836212158,0.00013334347429266806,2.890817064352856,2000,,,,,,,,,,,,,,,,,,,,,
0.36616039276123047,1.3325190544128418,0.00012878004259202918,2.9631236442516267,2050,,,,,,,,,,,,,,,,,,,,,
,,,3.0,2076,0.09350685030221939,0.0014,0.10136040317693215,0.20571786310517529,84.05302777380616,0.3051337671728127,0.7274051264980027,0.7098729032979648,0.4119461730328289,0.48128371130148756,0.6277825342465754,0.9814454539810005,0.8113227401873093,210.0255,6.585,1.647,,,,,
0.3655390167236328,1.467104196548462,0.0001242166108913903,3.03470715835141,2100,,,,,,,,,,,,,,,,,,,,,
0.3325193405151367,1.7437735795974731,0.00011965317919075144,3.107013738250181,2150,,,,,,,,,,,,,,,,,,,,,
0.3519615173339844,1.0265798568725586,0.00011508974749011255,3.1793203181489513,2200,,,,,,,,,,,,,,,,,,,,,
0.3629034423828125,1.7065359354019165,0.00011052631578947366,3.2516268980477223,2250,,,,,,,,,,,,,,,,,,,,,
0.34359764099121093,1.260189414024353,0.0001059628840888348,3.3239334779464933,2300,,,,,,,,,,,,,,,,,,,,,
0.3229414749145508,1.4734537601470947,0.00010139945238819591,3.396240057845264,2350,,,,,,,,,,,,,,,,,,,,,
0.3339026260375977,1.8561651706695557,9.683602068755705e-05,3.468546637744035,2400,,,,,,,,,,,,,,,,,,,,,
0.32902759552001953,1.144066333770752,9.227258898691816e-05,3.5408532176428054,2450,,,,,,,,,,,,,,,,,,,,,
0.3176121139526367,1.2403839826583862,8.770915728627927e-05,3.6131597975415763,2500,,,,,,,,,,,,,,,,,,,,,
0.32602874755859373,1.5154824256896973,8.31457255856404e-05,3.6854663774403473,2550,,,,,,,,,,,,,,,,,,,,,
0.3065920829772949,2.1276333332061768,7.858229388500151e-05,3.757772957339118,2600,,,,,,,,,,,,,,,,,,,,,
0.3157794952392578,1.5348589420318604,7.401886218436264e-05,3.8300795372378884,2650,,,,,,,,,,,,,,,,,,,,,
0.30733673095703123,1.662794589996338,6.945543048372376e-05,3.9023861171366594,2700,,,,,,,,,,,,,,,,,,,,,
