loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.7192,1.5456008911132812,3.653846153846154e-05,0.028922631959508314,20,,,,,,,,,
1.3047,2.087181806564331,7.500000000000001e-05,0.05784526391901663,40,,,,,,,,,
0.9959,1.7664791345596313,0.00011346153846153846,0.08676789587852494,60,,,,,,,,,
0.8168,1.7736520767211914,0.00015192307692307692,0.11569052783803326,80,,,,,,,,,
0.6631,3.708261251449585,0.00019038461538461538,0.14461315979754158,100,,,,,,,,,
0.627,1.8497427701950073,0.0001984787018255578,0.1735357917570499,120,,,,,,,,,
0.5348,2.419556140899658,0.00019645030425963488,0.2024584237165582,140,,,,,,,,,
0.529,1.6909061670303345,0.000194421906693712,0.2313810556760665,160,,,,,,,,,
0.4874,1.7673453092575073,0.00019239350912778907,0.2603036876355748,180,,,,,,,,,
0.476,3.525752067565918,0.00019036511156186615,0.28922631959508316,200,,,,,,,,,
0.4394,1.6979259252548218,0.00018833671399594323,0.31814895155459144,220,,,,,,,,,
0.4417,1.6344496011734009,0.00018630831643002028,0.3470715835140998,240,,,,,,,,,
0.4328,1.4759408235549927,0.00018427991886409736,0.3759942154736081,260,,,,,,,,,
0.3989,1.3640779256820679,0.00018225152129817444,0.4049168474331164,280,,,,,,,,,
0.3972,1.4639450311660767,0.00018022312373225152,0.43383947939262474,300,,,,,,,,,
0.3955,1.9500205516815186,0.00017819472616632863,0.462762111352133,320,,,,,,,,,
0.3914,1.269002914428711,0.00017616632860040568,0.49168474331164136,340,,,,,,,,,
0.4219,1.5412778854370117,0.00017413793103448276,0.5206073752711496,360,,,,,,,,,
0.3638,1.0666170120239258,0.00017210953346855984,0.549530007230658,380,,,,,,,,,
0.3493,1.4678863286972046,0.00017008113590263692,0.5784526391901663,400,,,,,,,,,
0.343,1.7875289916992188,0.000168052738336714,0.6073752711496746,420,,,,,,,,,
0.367,1.0256803035736084,0.00016602434077079108,0.6362979031091829,440,,,,,,,,,
0.3629,1.1828199625015259,0.00016399594320486816,0.6652205350686913,460,,,,,,,,,
0.3292,1.1437748670578003,0.00016196754563894524,0.6941431670281996,480,,,,,,,,,
0.3177,1.7397897243499756,0.00015993914807302232,0.7230657989877078,500,,,,,,,,,
0.3236,1.260669231414795,0.0001579107505070994,0.7519884309472162,520,,,,,,,,,
0.3401,1.8492295742034912,0.00015588235294117648,0.7809110629067245,540,,,,,,,,,
0.3661,1.6681160926818848,0.00015385395537525356,0.8098336948662328,560,,,,,,,,,
0.3255,0.8337902426719666,0.00015182555780933064,0.8387563268257412,580,,,,,,,,,
0.2995,0.8929262161254883,0.0001497971602434077,0.8676789587852495,600,,,,,,,,,
0.3155,1.2362345457077026,0.00014776876267748478,0.8966015907447578,620,,,,,,,,,
0.3021,1.073258399963379,0.00014574036511156189,0.925524222704266,640,,,,,,,,,
0.3045,1.2181851863861084,0.00014371196754563897,0.9544468546637744,660,,,,,,,,,
0.3111,1.3352984189987183,0.00014168356997971605,0.9833694866232827,680,,,,,,,,,
,,,1.0,692,0.2948359251022339,72.147,19.169,9.592,,,,,
0.3053,0.675841748714447,0.0001396551724137931,1.0115690527838033,700,,,,,,,,,
0.222,0.7995138168334961,0.00013762677484787018,1.0404916847433117,720,,,,,,,,,
0.2376,0.8326301574707031,0.00013559837728194726,1.06941431670282,740,,,,,,,,,
0.1836,0.9049275517463684,0.00013356997971602434,1.0983369486623282,760,,,,,,,,,
0.2189,0.7471511363983154,0.00013154158215010142,1.1272595806218366,780,,,,,,,,,
0.2257,1.0361597537994385,0.00012951318458417853,1.1561822125813448,800,,,,,,,,,
0.2197,1.4055553674697876,0.00012748478701825558,1.1851048445408532,820,,,,,,,,,
0.2171,1.1895420551300049,0.00012545638945233266,1.2140274765003616,840,,,,,,,,,
0.2292,1.1220238208770752,0.00012342799188640974,1.2429501084598698,860,,,,,,,,,
0.2209,1.0532087087631226,0.00012139959432048682,1.2718727404193781,880,,,,,,,,,
0.1874,1.0138049125671387,0.0001193711967545639,1.3007953723788865,900,,,,,,,,,
0.2206,0.7642905712127686,0.00011734279918864097,1.3297180043383947,920,,,,,,,,,
0.2179,1.0524606704711914,0.00011531440162271805,1.358640636297903,940,,,,,,,,,
0.2223,1.001277208328247,0.00011328600405679514,1.3875632682574115,960,,,,,,,,,
0.2051,0.7202593684196472,0.00011125760649087222,1.4164859002169197,980,,,,,,,,,
0.2085,1.136400818824768,0.0001092292089249493,1.445408532176428,1000,,,,,,,,,
0.1977,1.1596291065216064,0.00010720081135902638,1.4743311641359362,1020,,,,,,,,,
0.2216,1.1170539855957031,0.00010517241379310345,1.5032537960954446,1040,,,,,,,,,
0.2174,1.0516870021820068,0.00010314401622718053,1.532176428054953,1060,,,,,,,,,
0.2067,0.9690437912940979,0.00010111561866125761,1.5610990600144614,1080,,,,,,,,,
0.1949,0.9288211464881897,9.908722109533469e-05,1.5900216919739696,1100,,,,,,,,,
0.196,0.8979107737541199,9.705882352941177e-05,1.618944323933478,1120,,,,,,,,,
0.2142,1.5089656114578247,9.503042596348885e-05,1.6478669558929862,1140,,,,,,,,,
0.1858,1.1189777851104736,9.300202839756593e-05,1.6767895878524945,1160,,,,,,,,,
0.1998,0.8852153420448303,9.097363083164301e-05,1.705712219812003,1180,,,,,,,,,
0.21,0.8549184203147888,8.894523326572009e-05,1.7346348517715113,1200,,,,,,,,,
0.2006,1.3094613552093506,8.691683569979716e-05,1.7635574837310195,1220,,,,,,,,,
0.195,0.7185114026069641,8.488843813387425e-05,1.7924801156905277,1240,,,,,,,,,
0.1916,1.1448702812194824,8.286004056795133e-05,1.821402747650036,1260,,,,,,,,,
0.1914,0.9862960577011108,8.08316430020284e-05,1.8503253796095445,1280,,,,,,,,,
0.1957,1.2745048999786377,7.880324543610548e-05,1.8792480115690529,1300,,,,,,,,,
0.2087,0.8930424451828003,7.677484787018256e-05,1.9081706435285612,1320,,,,,,,,,
0.1949,1.2344679832458496,7.474645030425964e-05,1.9370932754880694,1340,,,,,,,,,
0.1955,1.1366565227508545,7.271805273833672e-05,1.9660159074475776,1360,,,,,,,,,
0.1815,0.7817707061767578,7.06896551724138e-05,1.994938539407086,1380,,,,,,,,,
,,,2.0,1384,0.24033868312835693,71.0999,19.451,9.733,,,,,
